,index,time,timeseq,Temperature,humidity,Precipitation,Surface_wind_speed,work_day,power_load
10318,41272,2021-03-05 22:00:00,0.9263157894736841,0.41457858769931666,0.6932340034697418,0.0,0.40546697038724366,0.5,0.3883950762516679
10319,41276,2021-03-05 23:00:00,0.9684210526315788,0.39654517843583903,0.68721298091642,0.0,0.6628701594533029,0.5,0.33522154676188465
10320,41280,2021-03-06 00:00:00,0.0,0.33200455580865607,0.7219103990203083,0.0,0.6013667425968108,0.0,0.28602050831369796
10321,41284,2021-03-06 01:00:00,0.042105263157894736,0.31738800303720577,0.709970405143382,0.0,0.48291571753986323,0.0,0.2705189818963556
10322,41288,2021-03-06 02:00:00,0.08421052631578947,0.31624905087319666,0.7197673231962446,0.0,0.4282460136674259,0.0,0.2672045745234197
10323,41292,2021-03-06 03:00:00,0.12631578947368421,0.2851176917236143,0.709970405143382,0.0,0.4111617312072892,0.0,0.2581341840212301
10324,41296,2021-03-06 04:00:00,0.16842105263157894,0.29441913439635536,0.6886416981324625,0.0,0.4179954441913439,0.0,0.2524026512491018
10325,41300,2021-03-06 05:00:00,0.21052631578947367,0.2667046317388003,0.6970098989692827,0.0,0.39179954441913434,0.0,0.2406980807622976
10326,41304,2021-03-06 06:00:00,0.25263157894736843,0.26651480637813213,0.6955811817532402,0.0,0.42596810933940765,0.0,0.25649416478387366
10327,41308,2021-03-06 07:00:00,0.29473684210526313,0.2613895216400911,0.7048678436575161,0.0,0.4555808656036445,0.0,0.2987503791535333
10328,41312,2021-03-06 08:00:00,0.3368421052631579,0.2536066818526955,0.7245637309929586,0.0,0.4692482915717539,0.0,0.3934267752170255
10329,41316,2021-03-06 09:00:00,0.3789473684210526,0.25626423690205014,0.6776201653229922,0.0,0.4179954441913439,0.0,0.4673718057396059
10330,41320,2021-03-06 10:00:00,0.42105263157894735,0.24753227031131358,0.6826206755791409,0.0,0.3633257403189066,0.0,0.5103583015305693
10331,41324,2021-03-06 11:00:00,0.46315789473684205,0.244874715261959,0.678232472701296,0.0,0.33826879271070615,0.0,0.5262561082643358
10332,41328,2021-03-06 12:00:00,0.5052631578947369,0.2511389521640091,0.6459842841106236,0.0,0.3280182232346241,0.0,0.48154263300359945
10333,41332,2021-03-06 13:00:00,0.5473684210526315,0.2450645406226272,0.656699663230942,0.0,0.3177676537585421,0.0,0.4648596468768704
10334,41336,2021-03-06 14:00:00,0.5894736842105263,0.24962034927866364,0.6523114603530974,0.0,0.3177676537585421,0.0,0.49016553583764955
10335,41340,2021-03-06 15:00:00,0.631578947368421,0.23936977980258162,0.665680171446066,0.0,0.32232346241457854,0.0,0.4804709692375293
10336,41344,2021-03-06 16:00:00,0.6736842105263158,0.24278663629460898,0.6609858148790694,0.0,0.326879271070615,0.0,0.48533682096917996
10337,41348,2021-03-06 17:00:00,0.7157894736842104,0.23481397114654518,0.6672109398918258,0.0,0.23804100227790428,0.0,0.5214885192886789
10338,41352,2021-03-06 18:00:00,0.7578947368421052,0.24145785876993167,0.6546586386365956,0.0,0.2312072892938496,0.0,0.5268394568791426
10339,41356,2021-03-06 19:00:00,0.7999999999999999,0.24525436598329536,0.6407796713950403,0.0,0.2505694760820045,0.0,0.5322425244763067
10340,41360,2021-03-06 20:00:00,0.8421052631578947,0.24734244495064542,0.6366976222063477,0.0,0.2676537585421412,0.0,0.512725834224272
10341,41364,2021-03-06 21:00:00,0.8842105263157894,0.24202733485193623,0.6347586488417185,0.0,0.2403189066059225,0.0,0.47399277791809813
10342,41368,2021-03-06 22:00:00,0.9263157894736841,0.2321564160971906,0.6439432595162772,0.0,0.20159453302961272,0.0,0.4117650043883778
10343,41372,2021-03-06 23:00:00,0.9684210526315788,0.23158694001518604,0.6510868455964895,0.0,0.18337129840546693,0.0,0.3721872574426539
10344,41376,2021-03-07 00:00:00,0.0,0.22513287775246774,0.6674150423512604,0.0,0.1879271070615034,0.0,0.3390667114154333
10345,41380,2021-03-07 01:00:00,0.042105263157894736,0.22760060744115415,0.657005816920094,0.0,0.17995444191343962,0.0,0.3173469517209244
10346,41384,2021-03-07 02:00:00,0.08421052631578947,0.2281700835231587,0.6545565874068784,0.0,0.17425968109339407,0.0,0.3091014147760889
10347,41388,2021-03-07 03:00:00,0.12631578947368421,0.22741078208048596,0.6582304316767018,0.0,0.11503416856492026,0.0,0.29743351982497224
10348,41392,2021-03-07 04:00:00,0.16842105263157894,0.22722095671981776,0.6548627410960304,0.0,0.11617312072892938,0.0,0.2901680731388607
10349,41396,2021-03-07 05:00:00,0.21052631578947367,0.21791951404707668,0.7204816818042658,0.0,0.08200455580865602,0.0,0.2859937513191082
10350,41400,2021-03-07 06:00:00,0.25263157894736843,0.22399392558845863,0.7093580977650781,0.0,0.11958997722095671,0.0,0.3099306509446256
10351,41404,2021-03-07 07:00:00,0.29473684210526313,0.22247532270311315,0.6892540055107664,0.0,0.11389521640091115,0.0,0.33996468538041635
10352,41408,2021-03-07 08:00:00,0.3368421052631579,0.22873955960516326,0.6686396571078682,0.0,0.14350797266514806,0.0,0.404150794117613
10353,41412,2021-03-07 09:00:00,0.3789473684210526,0.2885345482156416,0.5637309929584652,0.0,0.16628701594533027,0.0,0.4722367348162704
10354,41416,2021-03-07 10:00:00,0.42105263157894735,0.2968868640850418,0.5625063782018574,0.0,0.17198177676537582,0.0,0.513058682010419
10355,41420,2021-03-07 11:00:00,0.46315789473684205,0.2980258162490509,0.5664863761608329,0.0,0.19020501138952162,0.0,0.5124483457372762
10356,41424,2021-03-07 12:00:00,0.5052631578947369,0.35990888382687924,0.49862230839881627,0.0,0.23462414578587698,0.0,0.4579646461675795
10357,41428,2021-03-07 13:00:00,0.5473684210526315,0.3676917236142749,0.494030003061537,0.0,0.2824601366742596,0.0,0.4174271073728204
10358,41432,2021-03-07 14:00:00,0.5894736842105263,0.36996962794229316,0.493723849372385,0.0,0.3257403189066059,0.0,0.40582218362448863
10359,41436,2021-03-07 15:00:00,0.631578947368421,0.3838268792710706,0.5009694866823146,0.0,0.3610478359908883,0.0,0.40657645407542464
10360,41440,2021-03-07 16:00:00,0.6736842105263158,0.3805998481397115,0.5128074293295235,0.0,0.388382687927107,0.0,0.4062507568654181
10361,41444,2021-03-07 17:00:00,0.7157894736842104,0.3301063022019742,0.6287376262883968,0.0,0.33826879271070615,0.0,0.45279962355676573
10362,41448,2021-03-07 18:00:00,0.7578947368421052,0.33826879271070615,0.6280232676803755,0.0,0.32346241457858765,0.0,0.48221409516955505
10363,41452,2021-03-07 19:00:00,0.7999999999999999,0.33807896735003795,0.6458822328809063,0.0,0.3177676537585421,0.0,0.5039011006120662
10364,41456,2021-03-07 20:00:00,0.8421052631578947,0.3352315869400152,0.6591488927441576,0.0,0.32118451025056943,0.0,0.4942445935301125
